secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
2.278,1.23379,3.115,1.09228,2.8431800000000003,0,-297.44,0,1748,1536,3.0252,,,,,
2.288,1.24737,3.14187,1.10611,2.86986,0,-297.5,0,1750,1538,3.0252,,,,,
2.298,1.2615100000000001,3.16838,1.13266,2.9209,0,-297.56,0,1751,1536,2.89915,,,,,
2.318,1.28837,3.21927,1.14655,2.94755,0,-297.56,0,1748,1536,3.0252,,,,,
2.328,1.30226,3.24591,1.16044,2.97419,0,-297.56,0,1748,1536,3.0252,,,,,
2.338,1.31615,3.27255,1.17433,3.00084,0,-297.56,0,1748,1534,3.0252,,,,,
2.348,1.3300400000000001,3.2992,1.18939,3.02972,0,-297.62,0,1748,1533,3.2773,,,,,
2.358,1.34542,3.32792,1.20333,3.05639,0,-297.56,0,1748,1533,3.0252,,,,,
2.368,1.35904,3.35475,1.21724,3.08307,0,-297.56,0,1749,1534,3.0252,,,,,
2.378,1.37296,3.38143,1.2323,3.11196,0,-297.62,0,1748,1534,3.2773,,,,,
2.388,1.38833,3.4101500000000002,1.24624,3.13861,0,-297.5,0,1748,1536,3.0252,,,,,
2.398,1.40164,3.4371300000000002,1.27166,3.18749,0,-297.5,0,1751,1536,2.7731,,,,,
2.418,1.42706,3.48601,1.28667,3.21636,0,-297.38,0,1748,1536,3.2773,,,,,
2.428,1.4414500000000001,3.51521,1.30048,3.24305,0,-297.38,0,1748,1536,3.0252,,,,,
2.438,1.45525,3.5419,1.31543,3.27196,0,-297.31,0,1746,1533,3.2773,,,,,
2.448,1.46984,3.571,1.3292300000000001,3.2987,0,-297.25,0,1748,1535,3.0252,,,,,
2.458,1.48333,3.5979,1.34298,3.32543,0,-297.38,0,1749,1536,3.0252,,,,,
2.468,1.49776,3.62428,1.35679,3.35212,0,-297.31,0,1749,1536,3.0252,,,,,
2.478,1.5112,3.65116,1.37171,3.38105,0,-297.44,0,1748,1536,3.2773,,,,,
2.488,1.5268,3.67973,1.3867,3.40994,0,-297.38,0,1748,1537,3.2773,,,,,
2.498,1.5414700000000001,3.70879,1.4005,3.43662,0,-297.31,0,1749,1534,3.0252,,,,,
2.508,1.55491,3.73565,1.42584,3.48559,0,-297.31,0,1749,1532,2.7731,,,,,
2.528,1.5802500000000002,3.78463,1.44079,3.51457,0,-297.19,0,1748,1532,3.2773,,,,,
2.538,1.59457,3.81393,1.45454,3.54135,0,-297.31,0,1748,1532,3.0252,,,,,
2.548,1.60895,3.84039,1.46949,3.5703300000000002,0,-297.25,0,1749,1532,3.2773,,,,,
2.558,1.62358,3.86953,1.48326,3.5971,0,-297.31,0,1748,1530,3.0252,,,,,
2.568,1.63767,3.89613,1.49823,3.6261,0,-297.12,0,1749,1530,3.2773,,,,,
2.578,1.65165,3.92565,1.51196,3.65292,0,-297.12,0,1748,1527,3.0252,,,,,
2.588,1.66537,3.95247,1.52685,3.68202,0,-297.19,0,1749,1526,3.2773,,,,,
2.598,1.68063,3.98138,1.54064,3.70887,0,-297.12,0,1748,1523,3.0252,,,,,
2.608,1.6940600000000001,4.00842,1.5544200000000001,3.73577,0,-297.06,0,1748,1520,3.0252,,,,,
2.618,1.7075200000000001,4.03548,1.56817,3.7627,0,-297.0,0,1749,1520,3.0252,,,,,
2.628,1.72096,4.06257,1.5819,3.78964,0,-296.94,0,1748,1520,3.0252,,,,,
2.638,1.73438,4.08967,1.5956000000000001,3.8166,0,-296.94,0,1748,1518,3.0252,,,,,
2.648,1.74808,4.11662,1.61043,3.84577,0,-296.94,0,1748,1518,3.2773,,,,,
2.658,1.76291,4.1458,1.6252600000000001,3.87494,0,-296.81,0,1748,1518,3.2773,,,,,
2.668,1.77706,4.17532,1.63889,3.9019,0,-296.56,0,1748,1516,3.0252,,,,,
2.678,1.78938,4.20294,1.65464,3.9334000000000002,0,-296.56,0,1749,1516,3.5294,,,,,
2.688,1.8051300000000001,4.23443,1.66814,3.9603900000000003,0,-296.62,0,1748,1514,3.0252,,,,,
2.698,1.81894,4.26126,1.6816600000000002,3.98734,0,-296.56,0,1748,1514,3.0252,,,,,
2.708,1.83214,4.2883700000000005,1.6951500000000002,4.0143,0,-296.62,0,1748,1514,3.0252,,,,,
2.718,1.84595,4.31518,1.7086700000000001,4.04126,0,-296.56,0,1748,1512,3.0252,,,,,
2.728,1.85915,4.34229,1.72214,4.06819,0,-296.5,0,1748,1512,3.0252,,,,,
2.738,1.8723100000000001,4.36938,1.73672,4.09739,0,-296.56,0,1749,1512,3.2773,,,,,
2.748,1.8872,4.39843,1.75132,4.12658,0,-296.5,0,1748,1512,3.2773,,,,,
2.758,1.9014900000000001,4.42777,1.7647700000000002,4.15353,0,-296.5,0,1748,1512,3.0252,,,,,
2.768,1.91494,4.45472,1.7793400000000001,4.18273,0,-296.5,0,1748,1514,3.2773,,,,,
2.778,1.92951,4.48392,1.79392,4.21196,0,-296.5,0,1749,1514,3.2773,,,,,
2.788,1.94409,4.51315,1.80739,4.23894,0,-296.56,0,1748,1514,3.0252,,,,,
2.798,1.95787,4.53997,1.822,4.26815,0,-296.44,0,1748,1513,3.2773,,,,,
2.808,1.97185,4.5695,1.8354300000000001,4.29513,0,-296.44,0,1748,1514,3.0252,,,,,
2.818,1.9852800000000002,4.59648,1.8612,4.34685,0,-296.5,0,1749,1516,2.89915,,,,,
2.838,2.01137,4.64804,1.8769200000000001,4.37836,0,-296.44,0,1749,1514,3.5294,,,,,
2.848,2.02677,4.67971,1.89035,4.40535,0,-296.44,0,1749,1514,3.0252,,,,,
2.858,2.0402,4.7067,1.90378,4.4323500000000005,0,-296.31,0,1749,1514,3.0252,,,,,
2.868,2.05295,4.73403,1.9193900000000002,4.46388,0,-296.31,0,1748,1515,3.5294,,,,,
2.878,2.06855,4.76556,1.93276,4.49091,0,-296.31,0,1749,1514,3.0252,,,,,
2.888,2.08193,4.7926,1.9472500000000001,4.52019,0,-296.31,0,1749,1514,3.2773,,,,,
2.898,2.09642,4.82188,1.96174,4.54947,0,-296.25,0,1749,1515,3.2773,,,,,
2.908,2.11059,4.85131,1.9750800000000002,4.57652,0,-296.12,0,1749,1515,3.0252,,,,,
2.918,2.12325,4.8787,1.98837,4.6036,0,-296.25,0,1749,1515,3.0252,,,,,
2.928,2.13722,4.9054400000000005,2.00172,4.63065,0,-296.31,0,1748,1512,3.0252,,,,,
2.938,2.15089,4.93234,2.01508,4.65765,0,-296.25,0,1747,1509,3.0252,,,,,
2.948,2.16393,4.95949,2.02951,4.68686,0,-296.25,0,1749,1510,3.2773,,,,,
2.958,2.17836,4.98871,2.04394,4.7161,0,-296.25,0,1749,1511,3.2773,,,,,
2.968,2.19279,5.01794,2.05838,4.74534,0,-296.31,0,1749,1508,3.2773,,,,,
2.978,2.20755,5.04703,2.07283,4.77453,0,-296.31,0,1748,1507,3.2773,,,,,
2.988,2.222,5.07622,2.08616,4.8014600000000005,0,-296.31,0,1749,1506,3.0252,,,,,
2.998,2.23533,5.10314,2.10172,4.83286,0,-296.25,0,1749,1506,3.5294,,,,,
3.008,2.25057,5.1347,2.11501,4.85978,0,-296.25,0,1749,1498,3.0252,,,,,
3.018,2.26387,5.16163,2.14154,4.91336,0,-296.38,0,1750,1499,3.0252,,,,,
3.038,2.29107,5.21487,2.16924,4.96918,0,-296.31,0,1749,1496,3.15125,,,,,
3.058,2.31841,5.27086,2.18362,4.9981800000000005,0,-296.31,0,1749,1499,3.2773,,,,,
3.068,2.33279,5.29987,2.19801,5.02723,0,-296.25,0,1749,1499,3.2773,,,,,
3.078,2.34687,5.32907,2.21238,5.05629,0,-296.25,0,1749,1501,3.2773,,,,,
3.088,2.36123,5.35813,2.22676,5.08538,0,-296.12,0,1749,1500,3.2773,,,,,
3.098,2.37493,5.38756,2.24107,5.1145,0,-296.06,0,1749,1502,3.2773,,,,,
3.108,2.38892,5.41683,2.26738,5.16835,0,-295.81,0,1749,1506,3.0252,,,,,
3.128,2.41391,5.47133,2.28048,5.19538,0,-295.75,0,1748,1506,3.0252,,,,,
3.138,2.4266900000000002,5.4985100000000005,2.29572,5.22693,0,-295.69,0,1749,1512,3.5294,,,,,
3.148,2.44162,5.53021,2.30879,5.2540700000000005,0,-295.62,0,1749,1512,3.0252,,,,,
3.158,2.45431,5.55753,2.324,5.28575,0,-295.5,0,1749,1516,3.5294,,,,,
3.168,2.46889,5.58951,2.337,5.31299,0,-295.06,0,1749,1518,3.0252,,,,,
3.178,2.47955,5.61786,2.35086,5.34263,0,-295.0,0,1749,1521,3.2773,,,,,
3.188,2.4931,5.64765,2.36578,5.37462,0,-295.06,0,1749,1521,3.5294,,,,,
3.198,2.50833,5.67949,2.37966,5.40431,0,-294.94,0,1749,1523,3.2773,,,,,
3.208,2.52157,5.7094700000000005,2.3924,5.43171,0,-294.75,0,1751,1523,3.0252,,,,,
3.218,2.5333,5.73735,2.40506,5.45916,0,-294.75,0,1751,1523,3.0252,,,,,
3.228,2.54596,5.7648,2.41771,5.48661,0,-294.62,0,1749,1524,3.0252,,,,,
3.238,2.55791,5.79257,2.43239,5.51866,0,-294.62,0,1749,1524,3.5294,,,,,
3.248,2.57259,5.82461,2.44497,5.54612,0,-294.56,0,1749,1529,3.0252,,,,,
3.258,2.58486,5.85222,2.45958,5.57811,0,-294.44,0,1749,1529,3.5294,,,,,
3.268,2.59882,5.88451,2.4720400000000002,5.60556,0,-294.75,0,1749,1528,3.0252,,,,,
3.278,2.61294,5.9112,2.48571,5.63523,0,-294.69,0,1749,1528,3.2773,,,,,
3.288,2.62629,5.94102,2.49935,5.66492,0,-294.62,0,1749,1529,3.2773,,,,,
3.298,2.63956,5.97087,2.51399,5.69689,0,-294.5,0,1749,1528,3.5294,,,,,
3.308,2.65356,6.00314,2.52649,5.72434,0,-294.38,0,1749,1528,3.0252,,,,,
3.318,2.66542,6.03088,2.53894,5.75181,0,-294.5,0,1751,1528,3.0252,,,,,
3.328,2.6785,6.05806,2.55144,5.77926,0,-294.44,0,1751,1528,3.0252,,,,,
3.338,2.69068,6.08565,2.56495,5.809,0,-294.44,0,1749,1526,3.2773,,,,,
3.348,2.70419,6.1154,2.5784700000000003,5.83878,0,-294.38,0,1749,1526,3.2773,,,,,
3.358,2.71739,6.14532,2.5919600000000003,5.86856,0,-294.31,0,1749,1526,3.2773,,,,,
3.368,2.73051,6.17527,2.60542,5.89837,0,-294.38,0,1749,1526,3.2773,,,,,
3.378,2.7443400000000002,6.20491,2.61891,5.9281500000000005,0,-294.38,0,1749,1526,3.2773,,,,,
3.388,2.75784,6.23469,2.63241,5.95794,0,-294.5,0,1749,1531,3.2773,,,,,
3.398,2.77197,6.26419,2.6459200000000003,5.98763,0,-294.38,0,1749,1531,3.2773,,,,,
3.408,2.78485,6.29417,2.65938,6.01735,0,-294.31,0,1749,1531,3.2773,,,,,
3.418,2.79793,6.32406,2.67177,6.04481,0,-293.94,0,1749,1539,3.0252,,,,,
3.428,2.8083400000000003,6.3524,2.68393,6.07224,0,-293.88,0,1749,1548,3.0252,,,,,
3.438,2.82017,6.37998,2.697,6.10185,0,-293.94,0,1749,1549,3.2773,,,,,
3.448,2.83357,6.40945,2.7101,6.13143,0,-294.0,0,1749,1557,3.2773,,,,,
3.458,2.84699,6.43888,2.72317,6.16089,0,-293.88,0,1749,1560,3.2773,,,,,
3.468,2.85941,6.46863,2.73616,6.19033,0,-293.88,0,1749,1565,3.2773,,,,,
3.478,2.8724,6.49807,2.7491,6.2197000000000005,0,-293.88,0,1749,1564,3.2773,,,,,
3.488,2.88535,6.52744,2.76206,6.24909,0,-293.88,0,1749,1565,3.2773,,,,,
3.498,2.8983,6.55683,2.77599,6.28072,0,-293.94,0,1749,1565,3.5294,,,,,
3.508,2.91256,6.58831,2.79991,6.33497,0,-293.88,0,1749,1562,3.0252,,,,,
3.528,2.93616,6.64271,2.82591,6.39376,0,-294.0,0,1749,1563,3.2773,,,,,
3.548,2.9628,6.70121,2.85177,6.45215,0,-294.06,0,1747,1601,3.2773,,,,,
3.568,2.98898,6.75946,2.87647,6.50724,0,-294.56,0,1747,1619,3.15125,,,,,
3.588,3.01635,6.81334,2.88932,6.53563,0,-294.69,0,1747,1618,3.2773,,,,,
3.598,3.0299,6.84141,2.90323,6.56619,0,-294.81,0,1746,1618,3.5294,,,,,
3.608,3.04445,6.8716800000000005,2.9272400000000003,6.61861,0,-294.56,0,1746,1614,3.0252,,,,,
3.628,3.06712,6.92471,2.95315,6.67554,0,-294.94,0,1746,1614,3.2773,,,,,
3.648,3.09507,6.98071,2.97927,6.73213,0,-295.06,0,1747,1632,3.2773,,,,,
3.668,3.12182,7.037,2.99226,6.76019,0,-295.31,0,1747,1632,3.2773,,,,,
3.678,3.13614,7.06444,3.00537,6.7882,0,-295.62,0,1747,1646,3.2773,,,,,
3.688,3.1509,7.09166,3.01851,6.81591,0,-295.81,0,1747,1648,3.2773,,,,,
3.698,3.16504,7.11888,3.03173,6.84353,0,-296.06,0,1746,1648,3.2773,,,,,
3.708,3.17958,7.14587,3.04506,6.8711,0,-296.19,0,1747,1648,3.2773,,,,,
3.718,3.1936,7.1731,3.07125,6.92394,0,-297.31,0,1747,1640,3.15125,,,,,
3.738,3.22566,7.22298,3.09943,6.97864,0,-297.81,0,1746,1634,3.2773,,,,,
3.758,3.25645,7.27632,3.12825,7.0334,0,-298.44,0,1746,1630,3.2773,,,,,
3.778,3.28853,7.32934,3.1429,7.06067,0,-298.75,0,1747,1628,3.2773,,,,,
3.788,3.30478,7.35573,3.15772,7.08788,0,-299.12,0,1746,1626,3.2773,,,,,
3.798,3.3215,7.3819,3.17274,7.11503,0,-299.5,0,1747,1627,3.2773,,,,,
3.808,3.33846,7.40795,3.18792,7.14206,0,-299.81,0,1746,1625,3.2773,,,,,
3.818,3.35523,7.43408,3.21637,7.19182,0,-300.5,0,1747,1624,3.0252,,,,,
3.838,3.38718,7.4818,3.23206,7.21862,0,-300.88,0,1747,1624,3.2773,,,,,
3.848,3.40479,7.50746,3.24792,7.24532,0,-301.25,0,1746,1618,3.2773,,,,,
3.858,3.42252,7.53304,3.28035,7.29855,0,-302.19,0,1747,1602,3.2773,,,,,
3.878,3.45964,7.58336,3.29705,7.32519,0,-302.62,0,1746,1594,3.2773,,,,,
3.888,3.4784800000000002,7.60866,3.31404,7.35183,0,-302.94,0,1747,1594,3.2773,,,,,
3.898,3.49704,7.63428,3.33117,7.37837,0,-303.38,0,1746,1578,3.2773,,,,,
3.908,3.51634,7.6594,3.34867,7.405,0,-303.88,0,1746,1571,3.2773,,,,,
3.918,3.53628,7.68441,3.38178,7.45411,0,-304.62,0,1747,1561,3.0252,,,,,
3.938,3.5729800000000003,7.73107,3.40002,7.48058,0,-305.0,0,1747,1546,3.2773,,,,,
