secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
7.66,3.66942,9.3083,3.54153,9.03547,0,-295.19,0,1679,1522,1.7647,,,,,
7.68,3.68477,9.34002,3.55547,9.06511,0,-295.19,0,1680,1523,1.63865,,,,,
7.7,3.69871,9.36965,3.57047,9.09702,0,-295.19,0,1679,1517,1.7647,,,,,
7.72,3.71372,9.40156,3.5865,9.13114,0,-295.12,0,1679,1511,1.89075,,,,,
7.74,3.72937,9.43586,3.60035,9.16064,0,-295.12,0,1679,1509,1.63865,,,,,
7.76,3.74322,9.46536,3.61527,9.19235,0,-295.25,0,1679,1503,1.7647,,,,,
7.78,3.75883,9.49674,3.6302,9.22397,0,-295.25,0,1679,1503,1.7647,,,,,
7.8,3.77376,9.52837,3.64515,9.25559,0,-295.31,0,1680,1503,1.7647,,,,,
7.82,3.78903,9.55983,3.65902,9.28494,0,-295.25,0,1679,1502,1.63865,,,,,
7.84,3.80259,9.58934,3.67288,9.31429,0,-295.31,0,1678,1505,1.63865,,,,,
7.86,3.81676,9.61853,3.68787,9.34594,0,-295.31,0,1678,1507,1.7647,,,,,
7.88,3.83175,9.65019,3.70179,9.37536,0,-295.31,0,1677,1507,1.63865,,,,,
7.9,3.84567,9.6796,3.7178,9.40932,0,-295.19,0,1677,1509,1.89075,,,,,
7.92,3.86104,9.71386,3.73273,9.44108,0,-295.06,0,1677,1515,1.7647,,,,,
7.94,3.87528,9.74595,3.74764,9.47297,0,-295.12,0,1677,1516,1.7647,,,,,
7.96,3.89051,9.77769,3.7626,9.50487,0,-295.12,0,1677,1519,1.7647,,,,,
7.98,3.90547,9.80959,3.77648,9.53452,0,-295.06,0,1677,1521,1.63865,,,,,
8.0,3.91904,9.83938,3.79037,9.5642,0,-295.0,0,1677,1520,1.63865,,,,,
8.02,3.9326,9.86922,3.80421,9.5939,0,-295.0,0,1677,1520,1.63865,,,,,
8.04,3.94644,9.89892,3.81912,9.62586,0,-295.06,0,1677,1516,1.7647,,,,,
8.06,3.96167,9.93073,3.834,9.65777,0,-294.94,0,1678,1515,1.7647,,,,,
8.08,3.97591,9.96293,3.84884,9.68966,0,-294.94,0,1677,1513,1.7647,,,,,
8.1,3.99075,9.99482,3.86365,9.72153,0,-294.88,0,1677,1511,1.7647,,,,,
8.12,4.00524,10.0268,3.87841,9.75339,0,-294.81,0,1677,1508,1.7647,,,,,
8.14,4.01963,10.0589,3.89312,9.78519,0,-294.88,0,1677,1507,1.7647,,,,,
8.16,4.03472,10.0905,3.90681,9.81473,0,-294.81,0,1677,1508,1.63865,,,,,
8.18,4.04803,10.1202,3.92047,9.84429,0,-294.75,0,1677,1511,1.63865,,,,,
8.2,4.06137,10.1499,3.93414,9.87389,0,-294.75,0,1677,1511,1.63865,,,,,
8.22,4.07504,10.1795,3.9478,9.9035,0,-294.75,0,1675,1510,1.63865,,,,,
8.24,4.0887,10.2091,3.96251,9.93539,0,-294.75,0,1673,1513,1.7647,,,,,
